C4H9        0  9  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   187
C5H8        0  8  0  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   188
C6H7        0  7  0  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   189
C7H6        0  6  0  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   190
C9H4        0  4  0  9  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   191
C4H10       0 10  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   192
C5H9        0  9  0  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   193
C6H8        0  8  0  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   194
C7H7        0  7  0  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   195
C8H6        0  6  0  8  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   196
C5H10       0 10  0  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   197
C6H9        0  9  0  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   198
C7H8        0  8  0  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   199
C5H11       0 11  0  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   200
C6H10       0 10  0  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   201
C7H9        0  9  0  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   202
C5H12       0 12  0  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   203
C6H11       0 11  0  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   204
C7H10       0 10  0  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   205
C6H12       0 12  0  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   206
C6H13       0 13  0  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   207
C6H14       0 14  0  6  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   208
C14H10      0 10  0 14  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   209
C+          1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   210
H+          1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   211
N+          1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   212
O+          1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   213
C-         -1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   214
H-         -1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   215
O-         -1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   216
e-         -1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   217
C2+         1  0  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   218
CH+         1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   219
CN+         1  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   220
