Formula,InChI
HCS+,InChI=1S/CHS/c1-2/h1H/q+1
HCSi,InChI=1S/CHSi/c1-2/h1H
HNC,InChI=1S/CHN/c1-2/h2H
HNC+,InChI=1S/CHN/c1-2/h2H/q+1
HNO,InChI=1S/HNO/c1-2/h1H
HNO+,InChI=1S/HNO/c1-2/h1H/q+1
HNS+,InChI=1S/HNS/c1-2/h1H/q+1
HNSi,InChI=1S/HNSi/c1-2/h1H
HNSi+,InChI=1S/HNSi/c1-2/h1H/q+1
HOC+,InChI=1S/CHO/c1-2/h1H/q+1
HPN+,InChI=1S/HNP/c1-2/h2H/q+1
HPO,InChI=1S/HOP/c1-2/h2H
HPO+,InChI=1S/HOP/c1-2/h2H/q+1
HS2,InChI=1S/HS2/c1-2/h1H
HSiO+,InChI=1S/HOSi/c1-2/h2H/q+1
HSiS+,InChI=1S/HSSi/c1-2/h2H/q+1
HSO,
HSO+,InChI=1S/HOS/c1-2/h2H/q+1
H2CCl+,InChI=1S/CH2Cl/c1-2/h1H2/q+1
H2CN,InChI=1S/CH2N/c1-2/h1H2
H2CO,InChI=1S/CH2O/c1-2/h1H2
H2CO+,InChI=1S/CH2O/c1-2/h1H2/q+1
H2CS,InChI=1S/CH2S/c1-2/h1H2
H2CS+,InChI=1S/CH2S/c1-2/h1H2/q+1
H2NC+,InChI=1S/CH2N/c1-2/h2H2/q+1
H2NO+,InChI=1S/H2NO/c1-2/h1H2/q+1
H2O2,InChI=1S/H2O2/c1-2/h1-2H
H2PO+,InChI=1S/H2OP/c1-2/h2H2/q+1
H2S2,InChI=1S/H2S2/c1-2/h1-2H
H2S2+,InChI=1S/H2S2/c1-2/h1-2H/q+1
H2SiO,InChI=1S/H2OSi/c1-2/h2H2
H2SiO+,InChI=1S/H2OSi/c1-2/h2H2/q+1
H2SO,
H3O+,InChI=1S/H2O/h1H2/p+1
H3S+,InChI=1S/H2S/h1H2/p+1
HC2N,InChI=1S/C2HN/c1-2-3/h1H
HC2O,InChI=1S/C2HO/c1-2-3/h1H
HC2S+,InChI=1S/C2HS/c1-2-3/h1H/q+1
HC3,InChI=1S/C3H/c1-3-2/h1H
HCCS,
HCNH+,InChI=1S/CH2N/c1-2/h1-2H/q+1
HCNO,InChI=1S/CHNO/c1-2-3/h1H
HCNO+,InChI=1S/CHNO/c1-2-3/h1H/q+1
